dept,tenure,salary_band,performance,attrited
Operations,7.8,Band B,3,No
HR,3.2,Band B,2,No
HR,4.9,Band C,3,No
Operations,0.4,Band C,3,No
Marketing,7.1,Band B,5,No
Marketing,7.3,Band B,1,Yes
Support,7,Band C,5,No
Marketing,2.5,Band B,5,No
Engineering,0.8,Band A,4,No
Support,9.1,Band D,5,Yes
Support,3.7,Band C,4,No
HR,8.8,Band C,5,No
Sales,6.3,Band D,3,No
Finance,3.5,Band D,4,No
Engineering,9.3,Band C,2,No
Sales,5.9,Band A,4,No
Marketing,4,Band D,3,No
Operations,9.5,Band B,2,Yes
Operations,5.1,Band E,3,Yes
HR,2.4,Band A,3,No
Support,7.4,Band C,3,No
Sales,3.6,Band B,3,Yes
Support,7.4,Band C,3,Yes
Operations,0.7,Band D,2,No
Operations,8.9,Band D,3,No
Support,4.3,Band B,3,No
Finance,1.7,Band B,4,No
Finance,7.6,Band A,3,No
Engineering,5.3,Band A,4,No
Sales,8.6,Band C,4,No
Engineering,8.2,Band C,3,No
HR,5.7,Band B,2,Yes
Operations,6.2,Band E,5,No
Operations,3.6,Band C,3,No
HR,9.5,Band D,3,No
Finance,2,Band C,3,No
Operations,0.5,Band A,3,No
Support,9.1,Band D,3,No
Sales,3.5,Band C,3,Yes
Operations,4.4,Band C,5,No
Operations,7.6,Band A,5,No
Support,2.5,Band B,3,No
Engineering,7.7,Band E,2,No
HR,0.6,Band C,2,No
Operations,6.7,Band A,2,Yes
HR,5.1,Band C,4,No
Support,0.7,Band B,3,Yes
Marketing,5,Band C,2,Yes
Operations,3.3,Band B,5,Yes
Support,5.8,Band A,3,Yes
HR,6.6,Band B,3,No
Finance,5.3,Band C,3,No
Finance,8,Band A,3,No
HR,6.3,Band A,2,Yes
Operations,6.3,Band D,4,No
Marketing,2.5,Band B,3,Yes
Sales,2.4,Band B,2,No
Support,9.3,Band D,4,No
Sales,4.8,Band A,2,Yes
Support,3.3,Band C,2,Yes
Marketing,4.8,Band B,5,No
Support,1.4,Band C,2,No
Engineering,0.9,Band A,4,Yes
Finance,8,Band E,5,No
Marketing,5.7,Band D,1,No
Engineering,2.4,Band A,2,Yes
Engineering,6,Band B,3,Yes
HR,3.1,Band C,2,No
Support,0.6,Band A,4,Yes
