date,category,region,revenue,units,returns
2023-01-01,Home,North,3215.17,10,1
2023-01-01,Home,South,14758.15,50,3
2023-01-01,Apparel,East,5865.07,31,10
2023-01-03,Apparel,West,3030.15,14,3
2023-01-03,Home,East,12927.63,47,2
2023-01-03,Books,West,1773.37,54,2
2023-01-04,Home,South,18229.42,59,6
2023-01-04,Electronics,North,26112.55,29,2
2023-01-06,Electronics,East,23247.76,24,1
2023-01-08,Sports,South,9478.18,48,5
2023-01-08,Beauty,West,2993.09,32,5
2023-01-08,Electronics,North,10014.76,10,1
2023-01-09,Home,South,4832.55,13,1
2023-01-10,Electronics,North,10100.77,15,1
2023-01-10,Home,East,20887.88,55,5
2023-01-10,Home,West,3298.17,11,1
2023-01-11,Grocery,East,80.97,1,0
2023-01-15,Grocery,North,3929.38,49,1
2023-01-17,Beauty,South,673.22,4,1
2023-01-19,Sports,West,3456.32,18,1
2023-01-19,Home,North,8067.1,31,3
2023-01-19,Sports,West,15281.28,57,8
2023-01-20,Beauty,East,4548.12,31,4
2023-01-21,Apparel,East,8333.05,41,11
2023-01-21,Grocery,North,800.46,12,0
2023-01-21,Apparel,South,8609.89,43,7
2023-01-23,Books,North,2712.93,60,4
2023-01-23,Electronics,East,35870.88,34,2
2023-01-23,Beauty,North,6887.96,49,6
2023-01-24,Home,South,18304.68,51,4
2023-01-24,Beauty,North,4632.34,32,4
2023-01-25,Apparel,North,1696.08,6,1
2023-01-25,Sports,North,9440.4,34,2
2023-01-26,Apparel,East,10672.32,48,9
2023-01-26,Beauty,West,485.18,5,1
2023-01-27,Books,North,3201.6,59,4
2023-01-27,Books,South,1401.24,39,2
2023-01-28,Books,West,2751.57,58,1
2023-01-29,Beauty,North,5935.64,56,7
2023-01-30,Grocery,East,3960.06,53,1
2023-01-30,Electronics,North,35509.2,36,1
2023-01-31,Sports,North,2512.14,12,1
2023-02-01,Books,West,140.64,3,0
2023-02-02,Beauty,West,4320.21,43,5
2023-02-02,Apparel,South,10595.52,38,11
2023-02-02,Grocery,South,2932.35,56,2
2023-02-02,Beauty,South,2764.19,18,5
2023-02-03,Beauty,South,5596,46,7
2023-02-04,Books,East,720.12,14,1
2023-02-05,Grocery,North,3273.61,46,1
2023-02-07,Home,East,2932.13,10,1
2023-02-07,Beauty,West,6306,53,14
2023-02-08,Electronics,North,57659.52,56,3
2023-02-08,Electronics,West,8358.52,7,0
2023-02-08,Home,South,11028.46,33,4
2023-02-08,Home,South,15590.34,59,5
2023-02-09,Home,North,17826.38,46,3
2023-02-10,Grocery,East,1736.33,28,0
2023-02-10,Apparel,West,2076.26,10,2
2023-02-11,Books,West,1341.62,23,1
2023-02-12,Sports,South,2362.85,9,1
2023-02-13,Grocery,South,355.82,7,0
2023-02-16,Sports,South,20399.65,59,3
2023-02-17,Beauty,North,3336.64,21,5
2023-02-19,Grocery,North,2508.15,48,1
2023-02-19,Beauty,South,4008.03,37,10
2023-02-19,Books,South,1709.97,37,2
2023-02-19,Grocery,South,2617.77,37,1
2023-02-20,Grocery,South,1456.26,23,0
2023-02-20,Beauty,South,2913.32,24,4
2023-02-22,Home,North,12529.28,35,3
2023-02-22,Electronics,South,49571.19,42,1
2023-02-23,Home,South,1654.87,4,0
2023-02-24,Sports,North,9533.14,41,6
2023-02-26,Electronics,North,37568.78,45,3
2023-02-26,Books,North,134.94,3,0
2023-02-28,Grocery,North,409.01,5,0
2023-02-28,Grocery,North,1514.06,30,1
2023-03-03,Grocery,South,3243.58,38,1
2023-03-03,Home,West,9155.23,20,1
2023-03-03,Apparel,East,8764.28,32,9
2023-03-04,Beauty,West,9649.3,56,9
2023-03-04,Books,North,604.29,15,0
2023-03-05,Apparel,North,12875.75,51,15
2023-03-05,Home,North,7371.63,20,2
2023-03-06,Sports,South,8920.76,41,2
2023-03-07,Electronics,East,9755.68,9,1
2023-03-08,Apparel,North,2714.05,14,5
2023-03-08,Electronics,North,20047.4,26,1
2023-03-08,Home,South,20052.46,54,3
2023-03-09,Electronics,West,35172.19,32,1
2023-03-09,Electronics,South,43293.55,53,1
2023-03-09,Grocery,West,4173.85,49,1
2023-03-10,Books,West,1338.72,25,1
2023-03-10,Electronics,West,33779.44,34,2
2023-03-14,Apparel,East,7142.57,39,4
2023-03-15,Books,South,2199.19,45,3
2023-03-17,Beauty,South,6128.46,41,10
2023-03-17,Beauty,North,6451.77,39,8
2023-03-18,Apparel,North,3354.7,13,2
2023-03-20,Grocery,North,495.78,8,0
2023-03-21,Books,North,1295.54,33,2
2023-03-22,Home,North,7908.41,31,3
2023-03-22,Beauty,East,8609.95,55,6
2023-03-23,Home,South,1412.05,4,0
2023-03-24,Books,West,282.68,8,0
2023-03-24,Electronics,North,45485.85,42,2
2023-03-25,Books,North,978.44,24,1
2023-03-26,Apparel,East,3754.19,22,2
2023-03-27,Sports,North,11155.95,34,4
2023-03-27,Home,West,17052.8,48,5
2023-03-30,Sports,East,4218.66,13,2
2023-03-31,Grocery,West,1147.65,13,0
2023-03-31,Apparel,East,2574.51,11,2
2023-04-02,Grocery,North,2499.26,43,1
2023-04-02,Books,South,1890.29,37,1
2023-04-03,Electronics,North,29860.4,40,1
2023-04-04,Grocery,North,1977.77,30,0
2023-04-04,Books,North,286.93,6,0
2023-04-05,Books,West,1906.05,31,2
2023-04-07,Sports,West,4573.59,17,3
2023-04-08,Books,North,1267.94,30,1
2023-04-08,Home,West,6229.97,20,2
2023-04-09,Beauty,West,6301.02,45,9
2023-04-09,Grocery,South,690.75,9,0
2023-04-09,Home,North,9233.77,31,3
2023-04-09,Home,North,13759.99,32,3
2023-04-10,Apparel,South,364.16,2,0
2023-04-11,Sports,East,3722.44,11,1
2023-04-11,Apparel,East,9737.59,57,9
2023-04-11,Books,West,467.03,9,1
2023-04-11,Apparel,South,7042.36,42,6
2023-04-11,Books,West,376.52,11,0
2023-04-13,Grocery,North,3344.91,55,1
2023-04-14,Beauty,North,4740.03,36,4
2023-04-14,Home,North,13271.32,47,5
2023-04-16,Home,North,12479.27,37,4
2023-04-17,Books,North,1216.06,37,2
2023-04-19,Books,East,643.77,16,1
2023-04-19,Beauty,East,5783.67,51,13
2023-04-19,Apparel,North,3818.47,17,3
2023-04-20,Books,North,2792.63,57,3
2023-04-20,Electronics,North,34245.22,32,2
2023-04-21,Books,South,2381.99,49,4
2023-04-22,Apparel,West,9226.16,51,10
2023-04-22,Sports,West,17645.99,54,6
2023-04-22,Electronics,West,41332.5,48,2
2023-04-23,Apparel,North,1497.13,6,1
2023-04-23,Home,North,732.56,2,0
2023-04-26,Books,South,2275.61,56,3
2023-04-26,Beauty,West,1743.05,10,1
2023-04-26,Grocery,West,2950.14,33,0
2023-04-26,Electronics,North,33118.9,28,1
2023-04-27,Beauty,North,6079.86,59,9
2023-04-27,Beauty,North,1291.71,9,1
2023-04-27,Grocery,South,1018.72,14,0
2023-04-29,Sports,East,2304.68,9,1
2023-04-30,Books,North,535.62,16,1
2023-05-01,Electronics,South,7268.57,7,0
2023-05-02,Apparel,West,14060.38,59,7
2023-05-02,Beauty,North,4494.31,37,10
2023-05-03,Books,North,384.14,8,0
2023-05-04,Sports,South,2367.91,8,1
2023-05-04,Beauty,North,3248.49,22,5
