prospect_id,rep_id,company_name,company_size,lead_source,product_interest,quarter,created_date,status,meetings_held,closed_date,proposed_value_usd,closed_value_usd
PROS-00001,REP-0039,Solace Industries,1000-5000,Paid Marketing,Cloud Compute,Q4 2025,2025-11-06,Lost,5,2025-12-11,74200,
PROS-00002,REP-0079,Vantage Holdings,51-200,Inbound Call,Cloud Compute,Q2 2026,2026-04-23,Dead,0,,29800,
PROS-00003,REP-0068,Atlas Dynamics,201-1000,Paid Marketing,Data Analytics,Q4 2025,2025-12-24,Dead,0,,50700,
PROS-00004,REP-0104,Ember Digital,5000+,Paid Marketing,Cloud Compute,Q1 2026,2026-03-23,Dead,0,,70400,
PROS-00005,REP-0065,Lattice Works,201-1000,Cold Outreach,AI Platform,Q1 2026,2026-03-31,Lost,4,2026-05-09,92800,
PROS-00006,REP-0011,Redshift Digital,51-200,Referral,Cloud Storage,Q1 2026,2026-02-28,Won,4,2026-03-25,14700,15300
PROS-00007,REP-0019,Ridgeline Systems,51-200,Inbound Call,Security Suite,Q2 2026,2026-06-03,Open,1,,66400,
PROS-00008,REP-0077,Nimbus Digital,1-50,Cold Outreach,AI Platform,Q2 2026,2026-04-30,Lost,3,2026-05-09,35300,
PROS-00009,REP-0074,Redshift Technologies,201-1000,Cold Outreach,Cloud Compute,Q2 2026,2026-06-27,Open,2,,36700,
PROS-00010,REP-0040,Nimbus Systems,201-1000,Conference,Cloud Compute,Q1 2026,2026-03-13,Won,6,2026-04-20,39200,42100
PROS-00011,REP-0068,Orbit Partners,1000-5000,Website Inquiry,Data Analytics,Q2 2026,2026-04-16,Dead,0,,70700,
PROS-00012,REP-0003,Lattice Holdings,1-50,Paid Marketing,Cloud Compute,Q1 2026,2026-03-19,Lost,4,2026-03-26,7800,
PROS-00013,REP-0033,Wavefront Partners,1000-5000,Paid Marketing,Cloud Compute,Q4 2025,2025-11-25,Dead,0,,43400,
PROS-00014,REP-0083,Meridian Digital,1000-5000,Website Inquiry,Cloud Compute,Q1 2026,2026-03-18,Lost,2,2026-04-14,28800,
PROS-00015,REP-0106,Ironclad Technologies,1000-5000,Conference,Security Suite,Q1 2026,2026-01-21,Won,5,2026-02-28,122000,111100
PROS-00016,REP-0108,Helix Partners,51-200,Paid Marketing,Cloud Compute,Q1 2026,2026-02-16,Lost,5,2026-02-23,23500,
PROS-00017,REP-0074,Summit Holdings,201-1000,Inbound Call,Cloud Compute,Q2 2026,2026-04-25,Lost,5,2026-05-19,17400,
PROS-00018,REP-0047,Atlas Solutions,201-1000,Inbound Call,Security Suite,Q4 2025,2025-12-29,Lost,3,2026-02-11,38200,
PROS-00019,REP-0043,Ridgeline Networks,201-1000,LinkedIn,Data Analytics,Q4 2025,2025-12-22,Lost,3,2026-01-13,50200,
PROS-00020,REP-0062,Wavefront Partners,51-200,Website Inquiry,Security Suite,Q1 2026,2026-03-31,Lost,4,2026-04-09,39800,
PROS-00021,REP-0010,Fusion Digital,201-1000,Cold Outreach,AI Platform,Q4 2025,2025-12-16,Lost,3,2026-01-25,60500,
PROS-00022,REP-0085,Ironclad Labs,1000-5000,Website Inquiry,Cloud Storage,Q2 2026,2026-04-25,Won,5,2026-06-15,23600,26900
PROS-00023,REP-0053,Quantum Systems,1-50,Paid Marketing,Cloud Storage,Q2 2026,2026-05-08,Dead,1,,4900,
PROS-00024,REP-0042,Ironclad Digital,1-50,Paid Marketing,Cloud Compute,Q1 2026,2026-03-20,Won,3,2026-04-14,11700,12500
PROS-00025,REP-0066,Lattice Works,51-200,Paid Marketing,Cloud Storage,Q2 2026,2026-06-10,Lost,5,2026-06-27,7700,
PROS-00026,REP-0096,Ember Works,51-200,Cold Outreach,Cloud Compute,Q1 2026,2026-02-02,Dead,0,,16700,
PROS-00027,REP-0099,Fusion Digital,201-1000,Paid Marketing,Cloud Compute,Q1 2026,2026-01-18,Dead,0,,35400,
PROS-00028,REP-0087,Ridgeline Industries,201-1000,Cold Outreach,Cloud Storage,Q4 2025,2025-10-19,Lost,2,2025-11-08,13200,
PROS-00029,REP-0064,Sterling Systems,201-1000,Cold Outreach,Security Suite,Q2 2026,2026-05-19,Dead,0,,71800,
PROS-00030,REP-0015,Nova Holdings,1-50,Paid Marketing,Data Analytics,Q2 2026,2026-04-24,Lost,3,2026-05-06,16600,
PROS-00031,REP-0016,Granite Technologies,1000-5000,Website Inquiry,Security Suite,Q2 2026,2026-04-24,Lost,2,2026-06-28,92400,
PROS-00032,REP-0077,Wavefront Networks,1-50,Paid Marketing,Cloud Compute,Q1 2026,2026-03-25,Lost,5,2026-04-17,16600,
