startup,sector,city,round,amount_usd,year
PrimeAI,Logistics,Delhi NCR,Series A,"$10,200,000",2020
Orbithub,SaaS,Mumbai,Seed,"$1,850,000",2024
Novaworks,Fintech,Mumbai,Seed,"$950,000",2022
Zenowave,Fintech,Bengaluru,Series A,"$16,400,000",2021
Zenokart,Healthtech,Gurugram,Series B,"$48,900,000",2024
Novapay,Edtech,Delhi NCR,Seed,"$750,000",2020
Shoply,Healthtech,Hyderabad,Seed,"$1,250,000",2024
Shipwave,Gaming,Bengaluru,Seed,"$1,400,000",2022
Metawave,AI/ML,Pune,Seed,"$1,900,000",2021
UniAI,Edtech,Bengaluru,Seed,"$1,250,000",2024
PrimeAI,Fintech,Bengaluru,Series B,"$47,050,000",2019
Novahub,Healthtech,Hyderabad,Series B,"$43,750,000",2020
Vaultlabs,Logistics,Delhi NCR,Series A,"$10,250,000",2023
Novaly,Edtech,Pune,Series D,"$177,250,000",2020
Fluxkart,Cleantech,Mumbai,Seed,"$1,550,000",2023
Peakbase,Fintech,Delhi NCR,Series C,"$163,550,000",2024
Cashwave,SaaS,Bengaluru,Series A,"$12,250,000",2022
Fluxpay,Healthtech,Mumbai,Series A,"$10,450,000",2022
Byteflow,Foodtech,Pune,Series C,"$96,050,000",2020
Playworks,SaaS,Bengaluru,Pre-Series A,"$5,150,000",2021
Primebase,AI/ML,Noida,Series A,"$21,650,000",2022
Loopgrid,Logistics,Delhi NCR,Series C,"$81,100,000",2022
LearnAI,Fintech,Mumbai,Pre-Series A,"$2,400,000",2019
Unipay,E-commerce,Bengaluru,Pre-Series A,"$4,200,000",2021
Fluxlabs,E-commerce,Mumbai,Seed,"$1,400,000",2021
Metamint,Healthtech,Pune,Series A,"$10,250,000",2020
Cashhub,AI/ML,Noida,Seed,"$2,650,000",2024
Metakart,Healthtech,Delhi NCR,Seed,"$1,750,000",2022
Peakhub,Logistics,Mumbai,Seed,"$1,100,000",2023
Unimint,Healthtech,Delhi NCR,Series A,"$9,200,000",2024
Orbitmint,E-commerce,Bengaluru,Series A,"$10,300,000",2022
Looplabs,SaaS,Bengaluru,Pre-Series A,"$3,750,000",2021
Fluxbase,Healthtech,Bengaluru,Series A,"$9,250,000",2020
FluxAI,Gaming,Hyderabad,Pre-Series A,"$2,450,000",2021
Vaultflow,Logistics,Pune,Series B,"$45,500,000",2021
Shopflow,Edtech,Mumbai,Series A,"$8,450,000",2020
Peakpay,SaaS,Bengaluru,Series C,"$72,300,000",2020
LoopAI,E-commerce,Mumbai,Series A,"$14,150,000",2021
LearnAI,SaaS,Bengaluru,Series C,"$85,000,000",2023
Fluxlabs,AI/ML,Mumbai,Series B,"$58,800,000",2024
Learnmint,Gaming,Noida,Seed,"$1,150,000",2019
Sarvkart,Cleantech,Mumbai,Series B,"$26,750,000",2023
Fluxlabs,E-commerce,Delhi NCR,Series D,"$145,700,000",2020
Sarvly,SaaS,Delhi NCR,Series B,"$47,250,000",2024
Sarvly,Fintech,Pune,Seed,"$2,100,000",2021
Vaultgrid,Logistics,Bengaluru,Seed,"$1,150,000",2022
Credpay,Healthtech,Bengaluru,Pre-Series A,"$2,950,000",2022
Peakworks,SaaS,Hyderabad,Series B,"$26,200,000",2021
PlayAI,Edtech,Hyderabad,Series B,"$35,750,000",2021
Unigrid,E-commerce,Bengaluru,Pre-Series A,"$2,250,000",2019
Kiteflow,E-commerce,Bengaluru,Series A,"$11,550,000",2022
Unimint,Fintech,Bengaluru,Seed,"$1,000,000",2023
Bytehub,Logistics,Bengaluru,Pre-Series A,"$3,000,000",2024
Sarvpay,Healthtech,Pune,Seed,"$1,000,000",2021
Credhub,Edtech,Bengaluru,Pre-Series A,"$3,600,000",2023
Zenowave,Edtech,Bengaluru,Series C,"$64,050,000",2019
Shopbase,Gaming,Delhi NCR,Series B,"$51,800,000",2023
Fluxlabs,Foodtech,Bengaluru,Series B,"$30,000,000",2019
Sarvgrid,Fintech,Mumbai,Series B,"$23,000,000",2019
VaultAI,Healthtech,Bengaluru,Seed,"$1,950,000",2023
Playflow,Cleantech,Bengaluru,Series B,"$30,200,000",2020
Sarvbase,Fintech,Hyderabad,Series A,"$15,600,000",2024
Novalabs,SaaS,Hyderabad,Series A,"$16,500,000",2021
Byteflow,Logistics,Pune,Pre-Series A,"$3,000,000",2024
Unipay,Gaming,Delhi NCR,Seed,"$1,550,000",2021
Loopkart,Healthtech,Mumbai,Seed,"$1,250,000",2020
Cashpay,SaaS,Bengaluru,Pre-Series A,"$3,300,000",2019
Shipworks,Logistics,Mumbai,Series A,"$7,850,000",2022
Carepay,AI/ML,Mumbai,Series C,"$145,350,000",2021
Zenoly,Cleantech,Bengaluru,Seed,"$900,000",2021
Learnpay,E-commerce,Bengaluru,Series C,"$91,000,000",2020
Primehub,SaaS,Bengaluru,Series D,"$157,500,000",2022
SarvAI,Edtech,Bengaluru,Series C,"$93,250,000",2020
Loopkart,Healthtech,Bengaluru,Series A,"$11,250,000",2022
Zenobase,SaaS,Chennai,Series A,"$7,650,000",2020
Learngrid,Fintech,Hyderabad,Seed,"$1,000,000",2022
Vaultpay,Fintech,Mumbai,Series D,"$160,000,000",2019
SarvAI,SaaS,Bengaluru,Pre-Series A,"$3,950,000",2024
Fluxpay,Fintech,Pune,Series B,"$48,050,000",2022
Vaultworks,Gaming,Gurugram,Pre-Series A,"$4,550,000",2022
Credly,Healthtech,Delhi NCR,Series D,"$165,450,000",2023
Vaultmint,Fintech,Chennai,Series A,"$14,900,000",2023
Shoply,AI/ML,Delhi NCR,Pre-Series A,"$7,150,000",2023
Looply,E-commerce,Chennai,Series C,"$83,500,000",2021
Metabase,Edtech,Bengaluru,Series B,"$21,300,000",2021
Shoppay,SaaS,Pune,Pre-Series A,"$5,100,000",2022
Peakflow,SaaS,Delhi NCR,Pre-Series A,"$3,100,000",2023
Orbitbase,SaaS,Hyderabad,Series B,"$32,350,000",2023
Unimint,Gaming,Mumbai,Series D,"$169,700,000",2021
Metaly,Healthtech,Hyderabad,Pre-Series A,"$4,400,000",2023
Sarvgrid,Gaming,Hyderabad,Seed,"$2,050,000",2024
Peakpay,Logistics,Bengaluru,Series A,"$18,250,000",2024
Shipbase,E-commerce,Mumbai,Pre-Series A,"$3,550,000",2020
Orbitwave,SaaS,Pune,Pre-Series A,"$2,450,000",2021
Cashpay,Cleantech,Hyderabad,Series B,"$51,200,000",2022
Shopwave,Edtech,Bengaluru,Pre-Series A,"$3,250,000",2022
Learnkart,Healthtech,Mumbai,Series B,"$29,300,000",2020
Bytegrid,Fintech,Bengaluru,Series D,"$289,050,000",2021
Metaly,SaaS,Gurugram,Pre-Series A,"$3,200,000",2023
Kitewave,Cleantech,Hyderabad,Seed,"$1,000,000",2024
Sarvkart,SaaS,Bengaluru,Series B,"$48,550,000",2022
Unipay,AI/ML,Hyderabad,Series B,"$75,300,000",2024
Playflow,Logistics,Bengaluru,Series C,"$88,550,000",2023
Credworks,E-commerce,Noida,Pre-Series A,"$3,700,000",2020
Credkart,Gaming,Mumbai,Pre-Series A,"$4,400,000",2023
PlayAI,AI/ML,Delhi NCR,Series A,"$11,150,000",2021
Zenogrid,AI/ML,Bengaluru,Series D,"$411,200,000",2024
Primely,AI/ML,Delhi NCR,Pre-Series A,"$8,150,000",2023
Sarvly,E-commerce,Hyderabad,Series D,"$160,850,000",2021
Zenolabs,Foodtech,Mumbai,Series C,"$98,200,000",2021
Shipflow,Foodtech,Bengaluru,Series A,"$11,700,000",2022
Fluxworks,Fintech,Chennai,Pre-Series A,"$4,900,000",2020
Cashbase,Gaming,Mumbai,Seed,"$1,650,000",2022
Cashmint,SaaS,Bengaluru,Series B,"$27,400,000",2024
Shopworks,SaaS,Pune,Series A,"$14,850,000",2022
Unily,Gaming,Chennai,Series A,"$12,100,000",2019
Novaworks,E-commerce,Mumbai,Seed,"$1,350,000",2021
Novaflow,Cleantech,Bengaluru,Series B,"$35,450,000",2022
Orbitpay,Logistics,Bengaluru,Seed,"$1,250,000",2024
Vaultflow,Foodtech,Hyderabad,Pre-Series A,"$3,650,000",2021
FluxAI,SaaS,Bengaluru,Series B,"$35,700,000",2022
Learnhub,SaaS,Delhi NCR,Seed,"$1,300,000",2021
Cashkart,AI/ML,Delhi NCR,Seed,"$2,500,000",2023
Kitegrid,Foodtech,Mumbai,Series B,"$60,850,000",2024
Orbitkart,SaaS,Bengaluru,Series A,"$13,550,000",2023
Looplabs,Cleantech,Bengaluru,Series A,"$7,800,000",2021
Carekart,Healthtech,Gurugram,Series B,"$32,050,000",2021
Orbitflow,Healthtech,Bengaluru,Pre-Series A,"$2,600,000",2024
Orbitbase,E-commerce,Bengaluru,Series A,"$12,850,000",2019
Careflow,Fintech,Mumbai,Pre-Series A,"$4,900,000",2022
Playpay,SaaS,Delhi NCR,Pre-Series A,"$3,150,000",2019
Peakmint,Gaming,Mumbai,Seed,"$1,400,000",2023
Zenomint,Edtech,Mumbai,Seed,"$1,800,000",2023
Sarvgrid,Fintech,Hyderabad,Series B,"$59,950,000",2022
Vaultmint,Logistics,Hyderabad,Seed,"$1,300,000",2021
Zenowave,SaaS,Gurugram,Pre-Series A,"$4,050,000",2020
Unigrid,Logistics,Mumbai,Seed,"$1,300,000",2022
Vaultpay,Foodtech,Pune,Series D,"$159,950,000",2023
Learnhub,E-commerce,Hyderabad,Series A,"$10,800,000",2021
Fluxgrid,Healthtech,Pune,Series B,"$33,900,000",2020
Sarvlabs,Edtech,Hyderabad,Series A,"$8,550,000",2019
Playhub,SaaS,Noida,Series C,"$88,300,000",2019
Caregrid,Healthtech,Pune,Series B,"$38,050,000",2023
